design,variant,method,metric,value,questions,span_questions,ms_per_query
shared,base,qwen_hybrid_rerank,hit@1,0.731313,495,0,1423.826
shared,base,qwen_hybrid_rerank,hit@5,0.880808,495,0,1423.826
shared,base,qwen_hybrid_rerank,hit@10,0.911111,495,0,1423.826
shared,base,qwen_hybrid_rerank,recall@10,0.911111,495,0,1423.826
shared,base,qwen_hybrid_rerank,mrr@10,0.795866,495,0,1423.826
shared,base,qwen_hybrid_rerank,store_share@1,0.138459,495,0,1423.826
shared,base,qwen_hybrid_rerank,store_share@5,0.709206,495,0,1423.826
shared,base,qwen_hybrid_rerank,store_share@10,1.418762,495,0,1423.826
shared,base,qwen_hybrid_rerank,category_hit/crosslingual,0.857143,495,0,1423.826
shared,base,qwen_hybrid_rerank,category_hit/direct_long,0.939759,495,0,1423.826
shared,base,qwen_hybrid_rerank,category_hit/direct_short,0.895238,495,0,1423.826
shared,base,qwen_hybrid_rerank,category_hit/vague_long,0.971963,495,0,1423.826
shared,base,qwen_hybrid_rerank,category_hit/vague_short,0.752294,495,0,1423.826
shared,base,dci,hit@1,0.575758,495,0,22084.320
shared,base,dci,hit@5,0.696970,495,0,22084.320
shared,base,dci,hit@10,0.723232,495,0,22084.320
shared,base,dci,recall@10,0.723232,495,0,22084.320
shared,base,dci,mrr@10,0.632122,495,0,22084.320
shared,base,dci,store_share@1,0.135344,495,0,22084.320
shared,base,dci,store_share@5,0.658007,495,0,22084.320
shared,base,dci,store_share@10,1.358248,495,0,22084.320
shared,base,dci,category_hit/crosslingual,0.351648,495,0,22084.320
shared,base,dci,category_hit/direct_long,0.891566,495,0,22084.320
shared,base,dci,category_hit/direct_short,0.800000,495,0,22084.320
shared,base,dci,category_hit/vague_long,0.813084,495,0,22084.320
shared,base,dci,category_hit/vague_short,0.623853,495,0,22084.320
