design,variant,method,metric,value,questions,span_questions,ms_per_query
shared,base,qwen_hybrid_rerank,hit@1,0.723232,495,0,675.380
shared,base,qwen_hybrid_rerank,hit@5,0.880808,495,0,675.380
shared,base,qwen_hybrid_rerank,hit@10,0.907071,495,0,675.380
shared,base,qwen_hybrid_rerank,recall@10,0.907071,495,0,675.380
shared,base,qwen_hybrid_rerank,mrr@10,0.790802,495,0,675.380
shared,base,qwen_hybrid_rerank,store_share@1,0.138556,495,0,675.380
shared,base,qwen_hybrid_rerank,store_share@5,0.709726,495,0,675.380
shared,base,qwen_hybrid_rerank,store_share@10,1.417173,495,0,675.380
shared,base,qwen_hybrid_rerank,category_hit/crosslingual,0.857143,495,0,675.380
shared,base,qwen_hybrid_rerank,category_hit/direct_long,0.939759,495,0,675.380
shared,base,qwen_hybrid_rerank,category_hit/direct_short,0.904762,495,0,675.380
shared,base,qwen_hybrid_rerank,category_hit/vague_long,0.962617,495,0,675.380
shared,base,qwen_hybrid_rerank,category_hit/vague_short,0.752294,495,0,675.380
shared,base,qwen_hybrid_agentic,hit@1,0.725253,495,0,6062.090
shared,base,qwen_hybrid_agentic,hit@5,0.888889,495,0,6062.090
shared,base,qwen_hybrid_agentic,hit@10,0.915152,495,0,6062.090
shared,base,qwen_hybrid_agentic,recall@10,0.915152,495,0,6062.090
shared,base,qwen_hybrid_agentic,mrr@10,0.794824,495,0,6062.090
shared,base,qwen_hybrid_agentic,hit@20,0.917172,495,0,6062.090
shared,base,qwen_hybrid_agentic,recall@20,0.917172,495,0,6062.090
shared,base,qwen_hybrid_agentic,mrr@20,0.794959,495,0,6062.090
shared,base,qwen_hybrid_agentic,store_share@1,0.138506,495,0,6062.090
shared,base,qwen_hybrid_agentic,store_share@5,0.713294,495,0,6062.090
shared,base,qwen_hybrid_agentic,store_share@10,1.428507,495,0,6062.090
shared,base,qwen_hybrid_agentic,category_hit/crosslingual,0.901099,495,0,6062.090
shared,base,qwen_hybrid_agentic,category_hit/direct_long,0.951807,495,0,6062.090
shared,base,qwen_hybrid_agentic,category_hit/direct_short,0.895238,495,0,6062.090
shared,base,qwen_hybrid_agentic,category_hit/vague_long,0.953271,495,0,6062.090
shared,base,qwen_hybrid_agentic,category_hit/vague_short,0.761468,495,0,6062.090
shared,base,qwen_hybrid_agentic_tools,hit@1,0.719192,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,hit@5,0.878788,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,hit@10,0.903030,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,recall@10,0.903030,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,mrr@10,0.787064,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,hit@24,0.907071,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,recall@24,0.907071,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,mrr@24,0.787403,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,store_share@1,0.138084,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,store_share@5,0.693520,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,store_share@10,1.402189,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,category_hit/crosslingual,0.857143,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,category_hit/direct_long,0.939759,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,category_hit/direct_short,0.895238,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,category_hit/vague_long,0.962617,495,0,6572.237
shared,base,qwen_hybrid_agentic_tools,category_hit/vague_short,0.752294,495,0,6572.237
