design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,base,nemotron_hybrid,hit@1,0.545952,3471,0,2.017
per-variant,base,nemotron_hybrid,hit@5,0.743590,3471,0,2.017
per-variant,base,nemotron_hybrid,hit@10,0.823970,3471,0,2.017
per-variant,base,nemotron_hybrid,recall@10,0.823970,3471,0,2.017
per-variant,base,nemotron_hybrid,mrr@10,0.631258,3471,0,2.017
per-variant,base,nemotron_hybrid,category_hit/crosslingual,0.792958,3471,0,2.017
per-variant,base,nemotron_hybrid,category_hit/direct_long,0.899390,3471,0,2.017
per-variant,base,nemotron_hybrid,category_hit/direct_short,0.766074,3471,0,2.017
per-variant,base,nemotron_hybrid,category_hit/vague_long,0.824508,3471,0,2.017
per-variant,base,nemotron_hybrid,category_hit/vague_short,0.453015,3471,0,2.017
per-variant,base,nemotron_hybrid_rerank,hit@1,0.746471,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,hit@5,0.874964,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,hit@10,0.893402,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,recall@10,0.893402,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,mrr@10,0.802849,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,category_hit/crosslingual,0.857746,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,category_hit/direct_long,0.972561,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,category_hit/direct_short,0.893297,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,category_hit/vague_long,0.928896,3471,0,713.908
per-variant,base,nemotron_hybrid_rerank,category_hit/vague_short,0.733520,3471,0,713.908
per-variant,tok256,nemotron_hybrid,hit@1,0.517626,7801,0,2.916
per-variant,tok256,nemotron_hybrid,hit@5,0.712986,7801,0,2.916
per-variant,tok256,nemotron_hybrid,hit@10,0.800154,7801,0,2.916
per-variant,tok256,nemotron_hybrid,recall@10,0.800154,7801,0,2.916
per-variant,tok256,nemotron_hybrid,mrr@10,0.605729,7801,0,2.916
per-variant,tok256,nemotron_hybrid,category_hit/crosslingual,0.695906,7801,0,2.916
per-variant,tok256,nemotron_hybrid,category_hit/direct_long,0.866972,7801,0,2.916
per-variant,tok256,nemotron_hybrid,category_hit/direct_short,0.786124,7801,0,2.916
