design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,base,nemotron8b,hit@1,0.802074,3471,0,11.212
per-variant,base,nemotron8b,hit@5,0.940075,3471,0,11.212
per-variant,base,nemotron8b,hit@10,0.964275,3471,0,11.212
per-variant,base,nemotron8b,recall@10,0.964275,3471,0,11.212
per-variant,base,nemotron8b,mrr@10,0.863001,3471,0,11.212
per-variant,base,nemotron8b,category_hit/crosslingual,0.953521,3471,0,11.212
per-variant,base,nemotron8b,category_hit/direct_long,0.989329,3471,0,11.212
per-variant,base,nemotron8b,category_hit/direct_short,0.943912,3471,0,11.212
per-variant,base,nemotron8b,category_hit/vague_long,0.987897,3471,0,11.212
per-variant,base,nemotron8b,category_hit/vague_short,0.833100,3471,0,11.212
per-variant,base,nemotron8b_hybrid_rerank,hit@1,0.764909,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,hit@5,0.917027,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,hit@10,0.954192,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,recall@10,0.954192,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,mrr@10,0.832263,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,category_hit/crosslingual,0.900000,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,category_hit/direct_long,0.992378,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,category_hit/direct_short,0.915185,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,category_hit/vague_long,0.972769,3471,0,702.728
per-variant,base,nemotron8b_hybrid_rerank,category_hit/vague_short,0.814867,3471,0,702.728
per-variant,tok256,nemotron8b,hit@1,0.825663,7801,0,8.376
per-variant,tok256,nemotron8b,hit@5,0.943212,7801,0,8.376
per-variant,tok256,nemotron8b,hit@10,0.960518,7801,0,8.376
per-variant,tok256,nemotron8b,recall@10,0.960518,7801,0,8.376
per-variant,tok256,nemotron8b,mrr@10,0.876192,7801,0,8.376
per-variant,tok256,nemotron8b,category_hit/crosslingual,0.908772,7801,0,8.376
per-variant,tok256,nemotron8b,category_hit/direct_long,0.982798,7801,0,8.376
per-variant,tok256,nemotron8b,category_hit/direct_short,0.970757,7801,0,8.376
