design,variant,method,metric,value,questions,span_questions,ms_per_query
per-variant,base,qwen8b_hybrid_rerank_4b,hit@1,0.844713,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,hit@5,0.949870,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,hit@10,0.961394,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,recall@10,0.961394,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,mrr@10,0.890531,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,category_hit/crosslingual,0.959155,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,category_hit/direct_long,0.992378,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,category_hit/direct_short,0.949384,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,category_hit/vague_long,0.987897,3471,0,2713.729
per-variant,base,qwen8b_hybrid_rerank_4b,category_hit/vague_short,0.866760,3471,0,2713.729
per-variant,tok1024,qwen8b_hybrid_rerank_4b,hit@1,0.898001,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,hit@5,0.985527,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,hit@10,0.991730,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,recall@10,0.991730,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,mrr@10,0.936978,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,category_hit/crosslingual,0.979424,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,category_hit/direct_long,0.993399,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,category_hit/direct_short,0.993377,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,category_hit/vague_long,0.989967,1451,0,3562.948
per-variant,tok1024,qwen8b_hybrid_rerank_4b,category_hit/vague_short,0.970395,1451,0,3562.948
