design,variant,method,metric,value,questions,span_questions,ms_per_query
shared,base,qwen_hybrid_rerank,hit@1,0.718000,500,0,1078.809
shared,base,qwen_hybrid_rerank,hit@5,0.884000,500,0,1078.809
shared,base,qwen_hybrid_rerank,hit@10,0.900000,500,0,1078.809
shared,base,qwen_hybrid_rerank,recall@10,0.900000,500,0,1078.809
shared,base,qwen_hybrid_rerank,mrr@10,0.787394,500,0,1078.809
shared,base,qwen_hybrid_rerank,category_hit/crosslingual,0.891304,500,0,1078.809
shared,base,qwen_hybrid_rerank,category_hit/direct_long,0.939759,500,0,1078.809
shared,base,qwen_hybrid_rerank,category_hit/direct_short,0.886792,500,0,1078.809
shared,base,qwen_hybrid_rerank,category_hit/vague_long,0.981308,500,0,1078.809
shared,base,qwen_hybrid_rerank,category_hit/vague_short,0.741071,500,0,1078.809
shared,base,qwen_hybrid_geo,hit@1,0.552000,500,0,1994.404
shared,base,qwen_hybrid_geo,hit@5,0.746000,500,0,1994.404
shared,base,qwen_hybrid_geo,hit@10,0.802000,500,0,1994.404
shared,base,qwen_hybrid_geo,recall@10,0.802000,500,0,1994.404
shared,base,qwen_hybrid_geo,mrr@10,0.637166,500,0,1994.404
shared,base,qwen_hybrid_geo,category_hit/crosslingual,0.728261,500,0,1994.404
shared,base,qwen_hybrid_geo,category_hit/direct_long,0.879518,500,0,1994.404
shared,base,qwen_hybrid_geo,category_hit/direct_short,0.820755,500,0,1994.404
shared,base,qwen_hybrid_geo,category_hit/vague_long,0.841121,500,0,1994.404
shared,base,qwen_hybrid_geo,category_hit/vague_short,0.500000,500,0,1994.404
shared,base,qwen_hybrid_rerank_geo,hit@1,0.696000,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,hit@5,0.856000,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,hit@10,0.872000,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,recall@10,0.872000,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,mrr@10,0.763427,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,category_hit/crosslingual,0.836957,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,category_hit/direct_long,0.891566,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,category_hit/direct_short,0.877358,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,category_hit/vague_long,0.953271,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo,category_hit/vague_short,0.732143,500,0,1080.210
shared,base,qwen_hybrid_rerank_geo_v3,hit@1,0.692000,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,hit@5,0.852000,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,hit@10,0.868000,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,recall@10,0.868000,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,mrr@10,0.758991,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,category_hit/crosslingual,0.815217,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,category_hit/direct_long,0.915663,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,category_hit/direct_short,0.886792,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,category_hit/vague_long,0.953271,500,0,952.824
shared,base,qwen_hybrid_rerank_geo_v3,category_hit/vague_short,0.705357,500,0,952.824
shared,base,qwen_hybrid_agentic_geo,hit@1,0.700000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,hit@5,0.866000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,hit@10,0.884000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,recall@10,0.884000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,mrr@10,0.768710,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,hit@20,0.884000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,recall@20,0.884000,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,mrr@20,0.768710,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,category_hit/crosslingual,0.847826,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,category_hit/direct_long,0.891566,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,category_hit/direct_short,0.886792,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,category_hit/vague_long,0.962617,500,0,5784.260
shared,base,qwen_hybrid_agentic_geo,category_hit/vague_short,0.750000,500,0,5784.260
shared,base,qwen_hybrid_agentic_tools_geo,hit@1,0.700000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,hit@5,0.856000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,hit@10,0.878000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,recall@10,0.878000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,mrr@10,0.766979,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,hit@20,0.878000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,recall@20,0.878000,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,mrr@20,0.766979,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/crosslingual,0.858696,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/direct_long,0.879518,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/direct_short,0.877358,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/vague_long,0.943925,500,0,5062.086
shared,base,qwen_hybrid_agentic_tools_geo,category_hit/vague_short,0.732143,500,0,5062.086
