design,variant,method,metric,value,questions,span_questions,ms_per_query
shared,base,qwen_hybrid_rerank,hit@1,0.718000,500,0,1439.972
shared,base,qwen_hybrid_rerank,hit@5,0.884000,500,0,1439.972
shared,base,qwen_hybrid_rerank,hit@10,0.900000,500,0,1439.972
shared,base,qwen_hybrid_rerank,recall@10,0.900000,500,0,1439.972
shared,base,qwen_hybrid_rerank,mrr@10,0.787294,500,0,1439.972
shared,base,qwen_hybrid_rerank,category_hit/crosslingual,0.891304,500,0,1439.972
shared,base,qwen_hybrid_rerank,category_hit/direct_long,0.939759,500,0,1439.972
shared,base,qwen_hybrid_rerank,category_hit/direct_short,0.886792,500,0,1439.972
shared,base,qwen_hybrid_rerank,category_hit/vague_long,0.981308,500,0,1439.972
shared,base,qwen_hybrid_rerank,category_hit/vague_short,0.741071,500,0,1439.972
shared,base,qwen_hybrid_rerank_geo_strict,hit@1,0.716000,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,hit@5,0.884000,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,hit@10,0.900000,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,recall@10,0.900000,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,mrr@10,0.786394,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/crosslingual,0.891304,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/direct_long,0.939759,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/direct_short,0.886792,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/vague_long,0.981308,500,0,1568.441
shared,base,qwen_hybrid_rerank_geo_strict,category_hit/vague_short,0.741071,500,0,1568.441
